Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ING5	ENST00000313552.6	inhibitor of growth family, member 5 	529	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0024	0.0173	0.1202	-0.01	-0.14	0.36	2011
PRDM16	ENST00000511072.1	PR domain containing 16 	64	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0034	0.0247	0.1638	-0.01	-0.02	0.34	2009, 2011
GOSR1	ENST00000225724.5	golgi SNAP receptor complex member 1 	668	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0017	0.0124	0.0879	-0.01	-0.01	0.35	NULL
FAM83F	ENST00000333407.6	family with sequence similarity 83, member F 	5	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0080	0.0581	0.3952	-0.01	-0.01	0.35	NULL
INSR	ENST00000341500.5	insulin receptor 	577	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0061	0.0451	0.3185	-0.01	-0.01	0.35	NULL
LMLN	ENST00000330198.4	leishmanolysin-like (metallopeptidase M8 family) 	18	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0031	0.0228	0.1599	-0.01	-0.01	0.34	NULL
PDE5A	ENST00000354960.3	phosphodiesterase 5A, cGMP-specific 	69	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0054	0.0392	0.2688	-0.01	-0.06	0.36	2007, 2009, 2011
NUFIP2	ENST00000225388.4	nuclear fragile X mental retardation protein interacting protein 2 	440	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0049	0.0357	0.2428	-0.01	-0.04	0.36	2009, 2011
MAP3K1	ENST00000399503.3	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase 	137	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0009	0.0066	0.0455	-0.01	-0.19	0.35	NULL
TNPO1	ENST00000337273.5	transportin 1 	2041	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0085	0.0615	0.4084	-0.01	-0.01	0.35	2007
IKZF3	ENST00000346872.3	IKAROS family zinc finger 3 (Aiolos) 	7	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0051	0.0372	0.2486	-0.01	-0.02	0.36	NULL
NDUFB9	ENST00000276689.3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa 	225	1	0	0	1	1	1	0	0	1	hsa-miR-375	0.0003	0.0020	0.0123	-0.01	-0.39	0.36	NULL
GTDC1	ENST00000392869.2	glycosyltransferase-like domain containing 1 	241	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0019	0.0141	0.0928	-0.01	-0.09	0.50	NULL
SGIP1	ENST00000371036.3	SH3-domain GRB2-like (endophilin) interacting protein 1 	180	1	0	0	1	4	0	0	4	2	hsa-miR-375	0.0040	0.0294	0.2052	0	-0.12	0.46	NULL
YWHAB	ENST00000353703.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide 	272	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0004	0.0028	0.0195	0	-0.13	0.35	NULL
AP5M1	ENST00000261558.3	adaptor-related protein complex 5, mu 1 subunit 	198	1	0	0	1	0	0	0	0	4	hsa-miR-375	0.0049	0.0357	0.2410	0	-0.01	0.35	NULL
CADM1	ENST00000452722.3	cell adhesion molecule 1 	676	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0007	0.0053	0.0379	0	-0.17	0.57	2011
RNF126	ENST00000292363.5	ring finger protein 126 	658	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0001	0.0004	0.0023	0	-0.18	0.35	NULL
VPS53	ENST00000437048.2	vacuolar protein sorting 53 homolog (S. cerevisiae) 	1332	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0023	0.0166	0.1113	0	-0.01	0.34	2011
SLC25A12	ENST00000422440.2	solute carrier family 25 (aspartate/glutamate carrier), member 12 	566	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0008	0.0057	0.0408	0	-0.06	0.45	NULL
GALNT15	ENST00000339732.5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15 	114	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0025	0.0182	0.1286	0	-0.01	0.35	NULL
NAT10	ENST00000257829.3	N-acetyltransferase 10 (GCN5-related) 	132	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0025	0.0183	0.1270	0	-0.03	0.36	NULL
IGSF10	ENST00000282466.3	immunoglobulin superfamily, member 10 	191	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0035	0.0256	0.1817	0	-0.04	0.35	NULL
SOX14	ENST00000306087.1	SRY (sex determining region Y)-box 14 	5	1	0	0	1	2	0	0	2	0	hsa-miR-375	0.0000	0.0001	0.0009	0	-0.47	0.41	NULL
IFT74	ENST00000380062.5	intraflagellar transport 74 homolog (Chlamydomonas) 	246	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0006	0.0045	0.0321	0	-0.07	0.36	NULL
ORMDL2	ENST00000243045.5	ORM1-like 2 (S. cerevisiae) 	1649	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0001	0.0010	0.0069	0	-0.18	0.36	2005, 2007, 2009, 2011
CHD7	ENST00000423902.2	chromodomain helicase DNA binding protein 7 	925	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0041	0.0299	0.2142	0	-0.01	0.36	NULL
CBX2	ENST00000310942.4	chromobox homolog 2 	1816	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0000	0.0000	0.0002	0	-0.07	0.36	NULL
ZNF366	ENST00000318442.5	zinc finger protein 366 	5	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0003	0.0023	0.0165	0	-0.05	0.36	NULL
